OTU#,Genus RDP,Kingdom,Phylum,Class ,Order,Family,Genus ,Species,Sample1,Sample2,Sample3,Sample4,Sample5,Sample6,Sample7,Sample8,Sample9,Sample10,Sample11,Sample12
OTU23,Acidobacteria_Acidobacteria_Gp1_Acidobacterium_Acidobacterium_other_Acidobacterium,Acidobacteria,Acidobacteria,Gp1,Acidobacterium,Acidobacterium,other,Acidobacterium,0,0.000180549,0.000256674,0,0,0.000119161,0.000195141,0,0,0,0.00014243,0
OTU24,Acidobacteria_Acidobacteria_Gp1_Acidobacterium_Acidobacterium_unknown_Acidobacterium,Acidobacteria,Acidobacteria,Gp1,Acidobacterium,Acidobacterium,unknown,Acidobacterium,0.000527029,0.000662013,0.000490013,0.000343974,0.000241773,0.000297903,0.000536638,0.000475637,0.000479449,0.000320344,0.001032616,0.000247525
OTU25,Acidobacteria_Acidobacteria_Gp1_Bryocella_Bryocella_Bryocella,Acidobacteria,Acidobacteria,Gp1,Bryocella,Bryocella,Bryocella,,0,0.000140427,0.000140004,0,0,0.000148951,0,0,0,0,0.000569719,0
OTU26,Acidobacteria_Acidobacteria_Gp1_Bryocella_Bryocella_other_Bryocella,Acidobacteria,Acidobacteria,Gp1,Bryocella,Bryocella,other,Bryocella,0,0.000260793,0.000140004,0,0,0,0,0.000105697,0,0,0,0
OTU27,Acidobacteria_Acidobacteria_Gp1_Bryocella_Bryocella_unknown_Bryocella,Acidobacteria,Acidobacteria,Gp1,Bryocella,Bryocella,unknown,Bryocella,0.000627416,0.002166586,0.000513347,0.000779673,0.000564137,0.000953289,0.000341497,0.000660607,0.000479449,0.000572043,0.002421308,0.000742574
OTU28,Acidobacteria_Acidobacteria_Gp1_Candidatus Koribacter_Candidatus Koribacter_Candidatus Koribacter,Acidobacteria,Acidobacteria,Gp1,Candidatus Koribacter,Candidatus Koribacter,Candidatus Koribacter,,0,0.00020061,0.000140004,0.000137589,0.000161182,0.000148951,0,0,0.000261518,0.000320344,0.001103831,0.000165017
OTU29,Acidobacteria_Acidobacteria_Gp1_Candidatus Koribacter_Candidatus Koribacter_other_Candidatus Koribacter,Acidobacteria,Acidobacteria,Gp1,Candidatus Koribacter,Candidatus Koribacter,other,Candidatus Koribacter,0.000200773,0.001283903,0.000186672,0.000160521,0,0.000119161,0.000121963,0.00018497,0.000239725,0.00013729,0.000783364,0
OTU30,Acidobacteria_Acidobacteria_Gp1_Candidatus Koribacter_Candidatus Koribacter_unknown_Candidatus Koribacter,Acidobacteria,Acidobacteria,Gp1,Candidatus Koribacter,Candidatus Koribacter,unknown,Candidatus Koribacter,0.000953672,0.002066281,0.001096696,0.001215373,0.001289456,0.001310772,0.001536735,0.001215516,0.001656279,0.001372903,0.002065233,0.000742574
OTU31,Acidobacteria_Acidobacteria_Gp1_Edaphobacter_Edaphobacter_Edaphobacter,Acidobacteria,Acidobacteria,Gp1,Edaphobacter,Edaphobacter,Edaphobacter,,0,0,0,0.000137589,0.000134318,0.000148951,0,0,0.000130759,0,0,0
OTU32,Acidobacteria_Acidobacteria_Gp1_Edaphobacter_Edaphobacter_unknown_Edaphobacter,Acidobacteria,Acidobacteria,Gp1,Edaphobacter,Edaphobacter,unknown,Edaphobacter,0,0,0,0,0,0,0.000121963,0,0,0,0,0
OTU33,Acidobacteria_Acidobacteria_Gp1_Gp1_Gp1_Gp1,Acidobacteria,Acidobacteria,Gp1,Gp1,Gp1,Gp1,,0.027656477,0.055468625,0.013720366,0.013621354,0.012679651,0.013763108,0.01134257,0.012313709,0.014361679,0.015490927,0.071606609,0.010148515
OTU34,Acidobacteria_Acidobacteria_Gp1_Gp1_Gp1_unknown_Gp1,Acidobacteria,Acidobacteria,Gp1,Gp1,Gp1,unknown,Gp1,0.001054058,0.002808538,0.000676685,0.000779673,0.000725319,0.00107245,0.000585423,0.00055491,0.000719174,0.001029678,0.005590372,0.00049505
OTU35,Acidobacteria_Acidobacteria_Gp1_Granulicella_Granulicella_Granulicella,Acidobacteria,Acidobacteria,Gp1,Granulicella,Granulicella,Granulicella,,0.000125483,0.000160488,0,0.000389837,0.00051041,0.000536225,0.000243926,0.000211394,0.00034869,0.000366108,0.000961402,0.000247525
